Event Time;State
24677.749999999978;Idle
24677.749999999978;Busy 1 Job(s)
24709.249999999978;Idle
24709.249999999978;Busy 1 Job(s)
24721.86999999998;Idle
24721.86999999998;Busy 1 Job(s)
24740.749999999978;Idle
24740.749999999978;Busy 1 Job(s)
24772.249999999978;Idle
24772.249999999978;Busy 1 Job(s)
24803.749999999978;Idle
24803.749999999978;Busy 1 Job(s)
24835.249999999978;Idle
24835.249999999978;Busy 1 Job(s)
24863.779999999977;Idle
24863.779999999977;Busy 1 Job(s)
24888.849999999977;Idle
24904.52999999998;Busy 1 Job(s)
24904.52999999998;Idle
24904.52999999998;Busy 1 Job(s)
24912.59999999998;Idle
24912.59999999998;Busy 1 Job(s)
24912.59999999998;Idle
24912.59999999998;Busy 1 Job(s)
24912.59999999998;Busy 1 Job(s)
24912.59999999998;Busy 2 Job(s)
24944.09999999998;Idle
24944.09999999998;Busy 1 Job(s)
24975.59999999998;Idle
24975.59999999998;Busy 1 Job(s)
25007.09999999998;Idle
25007.09999999998;Busy 1 Job(s)
25038.59999999998;Idle
25038.59999999998;Busy 1 Job(s)
25070.09999999998;Idle
25070.09999999998;Busy 1 Job(s)
25095.25999999998;Idle
25095.25999999998;Busy 1 Job(s)
25095.25999999998;Idle
25095.25999999998;Busy 1 Job(s)
25126.75999999998;Idle
25126.75999999998;Busy 1 Job(s)
25134.879999999976;Idle
25134.879999999976;Busy 1 Job(s)
25139.85999999998;Idle
25139.85999999998;Busy 1 Job(s)
25139.85999999998;Idle
25139.85999999998;Busy 1 Job(s)
25171.35999999998;Idle
25171.35999999998;Busy 1 Job(s)
25202.85999999998;Idle
25202.85999999998;Busy 1 Job(s)
25223.319999999974;Idle
25223.319999999974;Busy 1 Job(s)
25234.35999999998;Idle
25234.35999999998;Busy 1 Job(s)
25251.159999999978;Idle
25251.159999999978;Busy 1 Job(s)
25251.159999999978;Idle
25251.159999999978;Busy 1 Job(s)
25264.37999999998;Idle
25409.349999999973;Busy 1 Job(s)
25433.819999999978;Idle
25433.819999999978;Busy 1 Job(s)
25434.419999999973;Idle
25434.419999999973;Busy 1 Job(s)
25454.579999999973;Idle
25545.119999999977;Busy 1 Job(s)
25545.119999999977;Idle
25545.119999999977;Busy 1 Job(s)
25545.119999999977;Idle
25545.119999999977;Busy 1 Job(s)
25558.33999999998;Idle
25595.379999999972;Busy 1 Job(s)
25595.379999999972;Idle
25595.379999999972;Busy 1 Job(s)
25620.44999999997;Idle
25656.419999999976;Busy 1 Job(s)
25656.419999999976;Idle
25656.419999999976;Busy 1 Job(s)
25656.419999999976;Idle
25656.419999999976;Busy 1 Job(s)
25687.919999999976;Idle
25687.919999999976;Busy 1 Job(s)
25719.419999999976;Idle
25719.419999999976;Busy 1 Job(s)
25750.919999999976;Idle
25750.919999999976;Busy 1 Job(s)
25767.719999999976;Idle
25767.719999999976;Busy 1 Job(s)
25767.719999999976;Idle
25767.719999999976;Busy 1 Job(s)
25780.939999999977;Idle
25781.40999999997;Busy 1 Job(s)
25806.47999999997;Idle
25950.379999999976;Busy 1 Job(s)
25950.379999999976;Idle
25950.379999999976;Busy 1 Job(s)
25964.06999999997;Busy 1 Job(s)
25964.06999999997;Busy 2 Job(s)
25981.879999999976;Idle
25981.879999999976;Busy 1 Job(s)
26013.379999999976;Idle
26013.379999999976;Busy 1 Job(s)
26044.879999999976;Idle
26044.879999999976;Busy 1 Job(s)
26076.379999999976;Idle
26076.379999999976;Busy 1 Job(s)
26107.879999999976;Idle
26107.879999999976;Busy 1 Job(s)
26136.409999999974;Idle
26136.409999999974;Busy 1 Job(s)
26150.09999999997;Idle
26150.09999999997;Busy 1 Job(s)
26161.479999999974;Idle
26161.479999999974;Busy 1 Job(s)
26186.549999999974;Idle
26247.709999999974;Busy 1 Job(s)
26247.709999999974;Idle
26247.709999999974;Busy 1 Job(s)
26247.709999999974;Idle
26247.709999999974;Busy 1 Job(s)
26260.929999999975;Idle
26332.75999999997;Busy 1 Job(s)
26332.75999999997;Idle
26332.75999999997;Busy 1 Job(s)
26352.91999999997;Idle
26430.369999999974;Busy 1 Job(s)
26430.369999999974;Idle
26430.369999999974;Busy 1 Job(s)
26430.369999999974;Idle
26430.369999999974;Busy 1 Job(s)
26461.869999999974;Idle
26461.869999999974;Busy 1 Job(s)
26493.369999999974;Idle
26493.369999999974;Busy 1 Job(s)
26518.789999999968;Idle
26518.789999999968;Busy 1 Job(s)
26518.789999999968;Idle
26518.789999999968;Busy 1 Job(s)
26524.869999999974;Idle
26524.869999999974;Busy 1 Job(s)
26541.669999999973;Busy 1 Job(s)
26541.669999999973;Busy 1 Job(s)
26541.669999999973;Idle
26541.669999999973;Busy 1 Job(s)
26541.669999999973;Idle
26541.669999999973;Busy 1 Job(s)
26541.669999999973;Idle
26541.669999999973;Busy 1 Job(s)
26573.169999999973;Idle
26573.169999999973;Busy 1 Job(s)
26604.669999999973;Idle
26604.669999999973;Busy 1 Job(s)
26636.169999999973;Idle
26636.169999999973;Busy 1 Job(s)
26667.669999999973;Idle
26667.669999999973;Busy 1 Job(s)
26699.169999999973;Idle
26699.169999999973;Busy 1 Job(s)
26704.819999999967;Idle
26704.819999999967;Busy 1 Job(s)
26727.69999999997;Busy 1 Job(s)
26727.69999999997;Busy 1 Job(s)
26727.69999999997;Idle
26727.69999999997;Busy 1 Job(s)
26727.69999999997;Idle
26727.69999999997;Busy 1 Job(s)
26727.69999999997;Busy 1 Job(s)
26727.69999999997;Busy 2 Job(s)
26759.19999999997;Idle
26759.19999999997;Busy 1 Job(s)
26790.69999999997;Idle
26790.69999999997;Busy 1 Job(s)
26822.19999999997;Idle
26822.19999999997;Busy 1 Job(s)
26853.69999999997;Idle
26853.69999999997;Busy 1 Job(s)
26885.19999999997;Idle
26885.19999999997;Busy 1 Job(s)
26913.72999999997;Idle
26913.72999999997;Busy 1 Job(s)
26913.72999999997;Idle
26913.72999999997;Busy 1 Job(s)
26913.72999999997;Idle
26913.72999999997;Busy 1 Job(s)
26945.22999999997;Idle
26945.22999999997;Busy 1 Job(s)
26976.72999999997;Idle
26976.72999999997;Busy 1 Job(s)
27002.149999999965;Idle
27002.149999999965;Busy 1 Job(s)
27002.149999999965;Idle
27002.149999999965;Busy 1 Job(s)
27008.22999999997;Idle
27008.22999999997;Busy 1 Job(s)
27039.72999999997;Idle
27039.72999999997;Busy 1 Job(s)
27071.22999999997;Idle
27071.22999999997;Busy 1 Job(s)
27099.75999999997;Idle
27099.75999999997;Busy 1 Job(s)
27124.82999999997;Idle
27184.809999999965;Busy 1 Job(s)
27184.809999999965;Idle
27184.809999999965;Busy 1 Job(s)
27211.05999999997;Idle
27211.05999999997;Busy 1 Job(s)
27216.309999999965;Idle
27216.309999999965;Busy 1 Job(s)
27247.809999999965;Idle
27247.809999999965;Busy 1 Job(s)
27279.309999999965;Idle
27279.309999999965;Busy 1 Job(s)
27310.809999999965;Idle
27310.809999999965;Busy 1 Job(s)
27342.309999999965;Idle
27342.309999999965;Busy 1 Job(s)
27370.839999999964;Idle
27370.839999999964;Busy 1 Job(s)
27370.839999999964;Idle
27370.839999999964;Busy 1 Job(s)
27393.71999999997;Idle
27393.71999999997;Busy 1 Job(s)
27395.909999999963;Idle
27395.909999999963;Busy 1 Job(s)
27416.069999999963;Idle
27482.139999999963;Busy 1 Job(s)
27482.139999999963;Idle
27482.139999999963;Busy 1 Job(s)
27482.139999999963;Idle
27482.139999999963;Busy 1 Job(s)
27495.359999999964;Idle
27576.37999999997;Busy 1 Job(s)
27576.37999999997;Idle
27576.37999999997;Busy 1 Job(s)
27596.539999999968;Idle
27664.799999999963;Busy 1 Job(s)
27664.799999999963;Idle
27664.799999999963;Busy 1 Job(s)
27696.299999999963;Idle
27696.299999999963;Busy 1 Job(s)
27727.799999999963;Idle
27727.799999999963;Busy 1 Job(s)
27731.609999999968;Idle
27731.609999999968;Busy 1 Job(s)
27759.299999999963;Idle
27759.299999999963;Busy 1 Job(s)
27776.099999999962;Idle
27776.099999999962;Busy 1 Job(s)
27789.319999999963;Idle
27914.269999999968;Busy 1 Job(s)
27914.269999999968;Idle
27914.269999999968;Busy 1 Job(s)
27945.769999999968;Idle
27945.769999999968;Busy 1 Job(s)
27962.12999999996;Idle
27962.12999999996;Busy 1 Job(s)
27977.269999999968;Idle
27977.269999999968;Busy 1 Job(s)
28008.769999999968;Idle
28008.769999999968;Busy 1 Job(s)
28040.269999999968;Idle
28040.269999999968;Busy 1 Job(s)
28071.769999999968;Idle
28071.769999999968;Busy 1 Job(s)
28096.929999999968;Idle
28096.929999999968;Busy 1 Job(s)
28096.929999999968;Idle
28096.929999999968;Busy 1 Job(s)
28117.089999999967;Idle
28148.15999999996;Busy 1 Job(s)
28148.15999999996;Idle
28148.15999999996;Busy 1 Job(s)
28148.15999999996;Idle
28148.15999999996;Busy 1 Job(s)
28179.65999999996;Idle
28179.65999999996;Busy 1 Job(s)
28211.15999999996;Idle
28211.15999999996;Busy 1 Job(s)
28236.59999999996;Idle
28236.59999999996;Busy 1 Job(s)
28236.59999999996;Idle
28236.59999999996;Busy 1 Job(s)
28252.629999999957;Idle
28282.959999999966;Busy 1 Job(s)
28308.029999999966;Idle
28391.829999999958;Busy 1 Job(s)
28391.829999999958;Idle
28391.829999999958;Busy 1 Job(s)
28423.329999999958;Idle
28423.329999999958;Busy 1 Job(s)
28454.829999999958;Idle
28454.829999999958;Busy 1 Job(s)
28468.989999999965;Idle
28468.989999999965;Busy 1 Job(s)
28486.329999999958;Idle
28486.329999999958;Busy 1 Job(s)
28517.829999999958;Idle
28517.829999999958;Busy 1 Job(s)
28547.059999999958;Idle
28547.059999999958;Busy 1 Job(s)
28547.059999999958;Idle
28547.059999999958;Busy 1 Job(s)
28569.16999999996;Idle
28651.649999999965;Busy 1 Job(s)
28651.649999999965;Idle
28651.649999999965;Busy 1 Job(s)
28651.649999999965;Idle
28651.649999999965;Busy 1 Job(s)
28651.649999999965;Idle
28651.649999999965;Busy 1 Job(s)
28683.149999999965;Idle
28683.149999999965;Busy 1 Job(s)
28714.649999999965;Idle
28714.649999999965;Busy 1 Job(s)
28729.719999999958;Idle
28729.719999999958;Busy 1 Job(s)
28729.719999999958;Idle
28729.719999999958;Busy 1 Job(s)
28746.149999999965;Idle
28746.149999999965;Busy 1 Job(s)
28777.649999999965;Idle
28777.649999999965;Busy 1 Job(s)
28809.149999999965;Idle
28809.149999999965;Busy 1 Job(s)
28834.309999999965;Idle
28834.309999999965;Busy 1 Job(s)
28841.019999999957;Idle
28841.019999999957;Busy 1 Job(s)
28854.469999999965;Idle
28854.469999999965;Busy 1 Job(s)
28867.689999999966;Idle
28996.249999999956;Busy 1 Job(s)
28996.249999999956;Idle
28996.249999999956;Busy 1 Job(s)
28996.249999999956;Idle
28996.249999999956;Busy 1 Job(s)
29016.969999999965;Idle
29016.969999999965;Busy 1 Job(s)
29018.359999999957;Idle
29018.359999999957;Busy 1 Job(s)
29038.519999999957;Idle
29178.909999999956;Busy 1 Job(s)
29178.909999999956;Idle
29178.909999999956;Busy 1 Job(s)
29199.629999999965;Idle
29199.629999999965;Busy 1 Job(s)
29210.409999999956;Idle
29210.409999999956;Busy 1 Job(s)
29241.909999999956;Idle
29241.909999999956;Busy 1 Job(s)
29273.409999999956;Idle
29273.409999999956;Busy 1 Job(s)
29304.909999999956;Idle
29304.909999999956;Busy 1 Job(s)
29336.409999999956;Idle
29336.409999999956;Busy 1 Job(s)
29361.569999999956;Idle
29361.569999999956;Busy 1 Job(s)
29361.569999999956;Idle
29361.569999999956;Busy 1 Job(s)
29381.729999999956;Idle
29385.659999999963;Busy 1 Job(s)
29385.659999999963;Idle
29385.659999999963;Busy 1 Job(s)
29385.659999999963;Idle
29385.659999999963;Busy 1 Job(s)
29417.159999999963;Idle
29417.159999999963;Busy 1 Job(s)
29448.659999999963;Idle
29448.659999999963;Busy 1 Job(s)
29480.159999999963;Idle
29480.159999999963;Busy 1 Job(s)
29511.659999999963;Idle
29511.659999999963;Busy 1 Job(s)
29543.159999999963;Idle
29543.159999999963;Busy 1 Job(s)
29544.229999999956;Idle
29544.229999999956;Busy 1 Job(s)
29544.229999999956;Idle
29544.229999999956;Busy 1 Job(s)
29568.319999999963;Idle
29568.319999999963;Busy 1 Job(s)
29588.479999999963;Idle
29679.619999999963;Busy 1 Job(s)
29679.619999999963;Idle
29679.619999999963;Busy 1 Job(s)
29679.619999999963;Idle
29679.619999999963;Busy 1 Job(s)
29711.119999999963;Idle
29711.119999999963;Busy 1 Job(s)
29730.259999999955;Idle
29730.259999999955;Busy 1 Job(s)
29730.259999999955;Idle
29730.259999999955;Busy 1 Job(s)
29742.619999999963;Idle
29742.619999999963;Busy 1 Job(s)
29768.05999999996;Idle
29768.05999999996;Busy 1 Job(s)
29768.05999999996;Idle
29768.05999999996;Busy 1 Job(s)
29784.08999999996;Idle
29879.35999999996;Busy 1 Job(s)
29879.35999999996;Idle
29879.35999999996;Busy 1 Job(s)
29910.85999999996;Idle
29910.85999999996;Busy 1 Job(s)
29912.919999999955;Idle
29912.919999999955;Busy 1 Job(s)
29942.35999999996;Idle
29942.35999999996;Busy 1 Job(s)
29973.85999999996;Idle
29973.85999999996;Busy 1 Job(s)
30005.35999999996;Idle
30005.35999999996;Busy 1 Job(s)
30034.58999999996;Idle
30034.58999999996;Busy 1 Job(s)
30056.69999999996;Idle
30095.579999999954;Busy 1 Job(s)
30095.579999999954;Idle
30095.579999999954;Busy 1 Job(s)
30127.079999999954;Idle
30127.079999999954;Busy 1 Job(s)
30158.579999999954;Idle
30158.579999999954;Busy 1 Job(s)
30190.079999999954;Idle
30190.079999999954;Busy 1 Job(s)
30220.61999999996;Idle
30220.61999999996;Busy 1 Job(s)
30221.579999999954;Idle
30221.579999999954;Busy 1 Job(s)
30253.079999999954;Idle
30253.079999999954;Busy 1 Job(s)
30278.239999999954;Idle
30278.239999999954;Busy 1 Job(s)
30278.239999999954;Idle
30278.239999999954;Busy 1 Job(s)
30278.239999999954;Idle
30278.239999999954;Busy 1 Job(s)
30298.399999999954;Idle
30389.539999999954;Busy 1 Job(s)
30389.539999999954;Idle
30389.539999999954;Busy 1 Job(s)
30406.649999999958;Idle
30406.649999999958;Busy 1 Job(s)
30421.039999999954;Idle
30421.039999999954;Busy 1 Job(s)
30452.539999999954;Idle
30452.539999999954;Busy 1 Job(s)
30484.039999999954;Idle
30484.039999999954;Busy 1 Job(s)
30515.539999999954;Idle
30515.539999999954;Busy 1 Job(s)
30547.039999999954;Idle
30547.039999999954;Busy 1 Job(s)
30572.199999999953;Idle
30572.199999999953;Busy 1 Job(s)
30589.309999999958;Idle
30589.309999999958;Busy 1 Job(s)
30592.359999999953;Idle
30592.359999999953;Busy 1 Job(s)
30612.519999999953;Idle
30660.639999999952;Busy 1 Job(s)
30660.639999999952;Idle
30660.639999999952;Busy 1 Job(s)
30660.639999999952;Idle
30660.639999999952;Busy 1 Job(s)
30660.639999999952;Idle
30660.639999999952;Busy 1 Job(s)
30676.66999999995;Idle
30775.339999999956;Busy 1 Job(s)
30775.339999999956;Idle
30775.339999999956;Busy 1 Job(s)
30783.409999999956;Idle
30783.409999999956;Busy 1 Job(s)
30800.409999999956;Idle
30850.26999999995;Busy 1 Job(s)
30850.26999999995;Idle
30850.26999999995;Busy 1 Job(s)
30850.26999999995;Idle
30850.26999999995;Busy 1 Job(s)
30875.33999999995;Idle
30966.069999999956;Busy 1 Job(s)
30966.069999999956;Idle
30966.069999999956;Busy 1 Job(s)
30986.229999999956;Idle
