Event Time;State
43275.00000000021;Busy 1 Job(s)
43326.660000000214;Idle
43328.75000000012;Busy 1 Job(s)
43378.32000000022;Idle
43426.62000000022;Busy 1 Job(s)
43471.34000000022;Idle
43514.780000000115;Busy 1 Job(s)
43559.41000000022;Idle
43647.570000000225;Busy 1 Job(s)
43697.44000000012;Busy 2 Job(s)
43699.23000000023;Busy 1 Job(s)
43719.39000000023;Idle
43807.830000000235;Busy 1 Job(s)
43851.97000000012;Busy 2 Job(s)
43855.36000000023;Busy 1 Job(s)
43880.43000000023;Idle
44003.13000000012;Busy 1 Job(s)
44026.59000000024;Idle
44083.25000000024;Busy 1 Job(s)
44134.91000000024;Idle
44189.16000000012;Busy 1 Job(s)
44191.850000000246;Busy 2 Job(s)
44216.920000000246;Busy 1 Job(s)
44232.950000000244;Idle
44331.96000000012;Busy 1 Job(s)
44372.170000000246;Idle
44400.700000000244;Busy 1 Job(s)
44457.270000000244;Idle
44487.190000000126;Busy 1 Job(s)
44510.880000000245;Idle
44598.49000000013;Busy 1 Job(s)
44618.600000000246;Idle
44643.76000000025;Busy 1 Job(s)
44695.42000000025;Idle
44781.15000000013;Busy 1 Job(s)
44810.08000000026;Idle
44870.110000000255;Busy 1 Job(s)
44926.680000000255;Idle
44963.810000000136;Busy 1 Job(s)
45009.84000000026;Idle
45101.37000000026;Busy 1 Job(s)
45149.840000000135;Busy 2 Job(s)
45157.94000000026;Busy 1 Job(s)
45183.01000000026;Idle
45306.040000000256;Busy 1 Job(s)
45336.57000000014;Busy 2 Job(s)
45359.650000000256;Busy 1 Job(s)
45361.64000000014;Idle
45472.94000000014;Busy 1 Job(s)
45498.87000000026;Idle
45524.03000000026;Busy 1 Job(s)
45575.690000000264;Idle
45584.24000000014;Busy 1 Job(s)
45620.410000000265;Idle
45668.71000000027;Busy 1 Job(s)
45695.54000000015;Busy 2 Job(s)
45708.76000000015;Busy 1 Job(s)
45713.43000000027;Idle
45793.23000000027;Busy 1 Job(s)
45837.95000000027;Idle
45891.42000000015;Busy 1 Job(s)
45921.11000000028;Idle
45981.84000000028;Busy 1 Job(s)
46035.45000000028;Idle
46074.080000000155;Busy 1 Job(s)
46118.610000000284;Idle
46210.14000000028;Busy 1 Job(s)
46229.31000000016;Busy 2 Job(s)
46254.38000000016;Busy 1 Job(s)
46263.750000000284;Idle
46414.91000000029;Busy 1 Job(s)
46437.04000000016;Busy 2 Job(s)
46457.200000000164;Busy 1 Job(s)
46466.57000000029;Idle
46590.300000000294;Busy 1 Job(s)
46639.86000000017;Busy 2 Job(s)
46643.910000000295;Busy 1 Job(s)
46664.0700000003;Idle
46791.02000000017;Busy 1 Job(s)
46841.7300000003;Idle
46870.2600000003;Busy 1 Job(s)
46926.8300000003;Idle
46973.680000000175;Busy 1 Job(s)
47009.9900000003;Idle
47101.5200000003;Busy 1 Job(s)
47156.34000000018;Busy 2 Job(s)
47158.0900000003;Busy 1 Job(s)
47178.250000000306;Idle
47236.14000000018;Busy 1 Job(s)
47254.47000000031;Idle
47302.77000000031;Busy 1 Job(s)
47347.440000000184;Busy 2 Job(s)
47347.49000000031;Busy 1 Job(s)
47360.71000000031;Idle
47498.60000000019;Busy 1 Job(s)
47515.940000000315;Busy 2 Job(s)
47536.10000000032;Busy 1 Job(s)
47558.21000000032;Idle
47638.01000000032;Busy 1 Job(s)
47682.73000000032;Idle
47712.76000000019;Busy 1 Job(s)
47734.39000000033;Idle
47854.05000000033;Busy 1 Job(s)
47867.990000000194;Busy 2 Job(s)
47888.1500000002;Busy 1 Job(s)
47907.66000000033;Idle
47999.4500000002;Busy 1 Job(s)
48015.38000000033;Idle
48072.040000000336;Busy 1 Job(s)
48123.70000000034;Idle
48154.680000000204;Busy 1 Job(s)
48177.31000000034;Idle
48296.97000000034;Busy 1 Job(s)
48337.34000000021;Busy 2 Job(s)
48348.63000000035;Busy 1 Job(s)
48368.79000000035;Idle
48480.09000000035;Busy 1 Job(s)
48488.50000000021;Busy 2 Job(s)
48501.72000000021;Busy 1 Job(s)
48531.75000000036;Idle
48611.55000000036;Busy 1 Job(s)
48613.020000000215;Busy 2 Job(s)
48626.240000000216;Busy 1 Job(s)
48656.27000000036;Idle
48736.07000000036;Busy 1 Job(s)
48780.790000000365;Idle
48812.270000000215;Busy 1 Job(s)
48837.360000000364;Idle
48960.39000000036;Busy 1 Job(s)
48998.300000000214;Busy 2 Job(s)
49016.96000000036;Busy 1 Job(s)
49042.03000000036;Idle
49165.06000000036;Busy 1 Job(s)
49212.46000000022;Busy 2 Job(s)
49221.63000000036;Busy 1 Job(s)
49241.790000000365;Idle
49366.990000000216;Busy 1 Job(s)
49392.860000000364;Idle
49452.89000000036;Busy 1 Job(s)
49509.46000000036;Idle
49549.65000000022;Busy 1 Job(s)
49592.62000000037;Idle
49684.150000000365;Busy 1 Job(s)
49704.88000000022;Busy 2 Job(s)
49729.95000000022;Busy 1 Job(s)
49737.760000000366;Idle
49888.92000000037;Busy 1 Job(s)
49912.610000000226;Busy 2 Job(s)
49932.77000000023;Busy 1 Job(s)
49940.58000000037;Idle
50088.00000000023;Busy 1 Job(s)
50091.740000000376;Busy 2 Job(s)
50113.85000000038;Busy 1 Job(s)
50134.01000000038;Idle
50288.54000000038;Busy 1 Job(s)
50302.160000000236;Busy 2 Job(s)
50327.230000000236;Busy 1 Job(s)
50340.20000000038;Idle
50494.73000000038;Busy 1 Job(s)
50509.89000000024;Busy 2 Job(s)
50534.96000000024;Busy 1 Job(s)
50546.390000000385;Idle
50697.55000000039;Busy 1 Job(s)
50717.62000000024;Busy 2 Job(s)
50737.780000000246;Busy 1 Job(s)
50749.21000000039;Idle
50872.940000000395;Busy 1 Job(s)
50920.44000000025;Busy 2 Job(s)
50926.550000000396;Busy 1 Job(s)
50946.7100000004;Idle
51000.24000000025;Busy 1 Job(s)
51022.9300000004;Idle
51071.2300000004;Busy 1 Job(s)
51111.540000000256;Busy 2 Job(s)
51115.950000000405;Busy 1 Job(s)
51129.170000000406;Idle
51266.070000000254;Busy 1 Job(s)
51311.740000000405;Idle
51336.90000000041;Busy 1 Job(s)
51388.56000000041;Idle
51448.73000000026;Busy 1 Job(s)
51471.720000000416;Idle
51488.52000000042;Busy 1 Job(s)
51533.24000000042;Idle
51631.39000000026;Busy 1 Job(s)
51679.40000000042;Idle
51704.56000000043;Busy 1 Job(s)
51756.22000000043;Idle
51786.620000000265;Busy 1 Job(s)
51809.83000000043;Idle
51897.92000000027;Busy 1 Job(s)
51917.55000000043;Idle
51946.08000000043;Busy 1 Job(s)
52002.65000000043;Idle
52080.58000000027;Busy 1 Job(s)
52117.310000000434;Idle
52173.97000000044;Busy 1 Job(s)
52191.880000000274;Busy 2 Job(s)
52212.04000000028;Busy 1 Job(s)
52218.69000000044;Idle
52323.34000000028;Busy 1 Job(s)
52357.91000000044;Idle
52386.44000000044;Busy 1 Job(s)
52443.01000000044;Idle
52509.37000000028;Busy 1 Job(s)
52562.58000000044;Idle
52591.81000000044;Busy 1 Job(s)
52645.42000000044;Idle
52692.03000000028;Busy 1 Job(s)
52728.580000000446;Idle
52789.31000000045;Busy 1 Job(s)
52842.92000000045;Idle
52847.260000000286;Busy 1 Job(s)
52896.53000000045;Idle
53019.56000000045;Busy 1 Job(s)
53033.290000000285;Busy 2 Job(s)
53058.360000000284;Busy 1 Job(s)
53076.13000000045;Idle
53227.29000000045;Busy 1 Job(s)
53241.02000000029;Busy 2 Job(s)
53261.18000000029;Busy 1 Job(s)
53278.950000000455;Idle
53433.480000000454;Busy 1 Job(s)
53443.840000000295;Busy 2 Job(s)
53468.910000000295;Busy 1 Job(s)
53485.14000000046;Idle
53564.94000000046;Busy 1 Job(s)
53609.66000000046;Idle
53651.5700000003;Busy 1 Job(s)
53692.820000000465;Idle
